code,from,to,Fr,Nl
17665,2016-10-01,2018-01-30,"isradipine oral 2,5 mg","isradipine oraal 2,5 mg"
17723,,,,
17764,,,,
17806,2016-10-01,,iohexol injection/instillation 755 mg / 1 ml,johexol injectie/instillatie 755 mg / 1 ml
17830,,,,
17871,,,,
17889,2016-10-01,,iopromide injection/perfusion/instillation 769 mg / 1 ml,jopromide injectie/infusie/instillatie 769 mg / 1 ml
17921,,,,
17970,2016-10-01,,ioxitalamate injection/perfusion 660 mg / 1 ml,joxitalamaat injectie/infusie 660 mg / 1 ml
18135,2016-10-01,,kétoprofène oral (libér. modifiée) 200 mg,ketoprofen oraal (gereg. afgifte) 200 mg
18168,2016-10-01,,kétorolac trométamol collyre ophtalmique 5 mg / 1 ml,ketorolac trometamol druppels oculair 5 mg / 1 ml
18325,2016-10-01,,lactulose oral 10 g / 15 ml,lactulose oraal 10 g / 15 ml
18424,,,,
18507,,,,
18598,,,,
18713,2016-10-01,,"létrozole oral 2,5 mg","letrozol oraal 2,5 mg"
18846,,,,
18861,2016-10-01,,lévobunolol chlorhydrate collyre ophtalmique 5 mg / 1 ml,levobunolol hydrochloride druppels oculair 5 mg / 1 ml
18986,2016-10-01,,lévodopa + carbidopa + entacapone oral 100 mg + 25 mg + 200 mg,levodopa + carbidopa + entacapon oraal 100 mg + 25 mg + 200 mg
19158,2016-10-01,,lévomépromazine oral 100 mg,levomepromazine oraal 100 mg
19216,2016-10-01,,"lévonorgestrel oral 1,5 mg","levonorgestrel oraal 1,5 mg"
19224,2016-10-01,2017-06-12,lévonorgestrel intra-utérin 52 mg,levonorgestrel intra-uterien 52 mg
19356,,,,
19406,2016-10-01,,lidocaïne + tyrothricine oropharyngé 2 mg + 1 mg,lidocaïne + tyrothricine orofaryngeaal 2 mg + 1 mg
19067,2016-10-01,,lévofloxacine oral 250 mg,levofloxacine oraal 250 mg
19091,2016-10-01,,acide lévofolinique injection/perfusion 200 mg / 4 ml,levofolinezuur injectie/infusie 200 mg / 4 ml
22962,2016-10-01,,nifédipine oral (libér. modifiée) 30 mg,nifedipine oraal (gereg. afgifte) 30 mg
19679,2016-10-01,2018-05-17,"lithium succinate + zinc sulfate crème cutané 80 mg + 0,5 mg / 1 g","lithium succinaat + zink sulfaat crème cutaan 80 mg + 0,5 mg / 1 g"
19703,2016-10-01,,"lodoxamide trométamol collyre ophtalmique 1,78 mg / 1 ml","lodoxamide trometamol druppels oculair 1,78 mg / 1 ml"
23705,2016-10-01,,olmésartan + hydrochlorothiazide oral 20 mg + 25 mg,olmesartan + hydrochloorthiazide oraal 20 mg + 25 mg
24042,2016-10-01,2018-02-26,oxacilline injection/perfusion 1 g,oxacilline injectie/infusie 1 g
19265,,,,
19604,2016-10-01,,"lisinopril + hydrochlorothiazide oral 10 mg + 12,5 mg","lisinopril + hydrochloorthiazide oraal 10 mg + 12,5 mg"
19778,2016-10-01,,loprazolam oral 2 mg,loprazolam oraal 2 mg
27243,,,,
19513,2016-10-01,,"linagliptine + metformine oral 2,5 mg + 850 mg","linagliptine + metformine oraal 2,5 mg + 850 mg"
19562,2016-10-01,,linézolide perfusion 600 mg / 300 ml,linezolid infusie 600 mg / 300 ml
19810,2016-10-01,,"lorazépam oral 2,5 mg [CAVE séc.]","lorazepam oraal 2,5 mg [CAVE deelb.]"
19844,2016-10-01,,lormétazépam oral 2 mg [CAVE séc.],lormetazepam oraal 2 mg [CAVE deelb.]
35667,2016-10-01,,safinamide oral 100 mg,safinamide oraal 100 mg
19869,2016-10-01,,losartan + hydrochlorothiazide oral 100 mg + 25 mg [CAVE séc.],losartan + hydrochloorthiazide oraal 100 mg + 25 mg [CAVE deelb.]
19984,2016-10-01,,macrogol 4.000 oral 4 g,macrogol 4.000 oraal 4 g
20149,2016-10-01,,médroxyprogestérone oral 100 mg,medroxyprogesteron oraal 100 mg
20263,2016-10-01,,mélatonine oral (libér. modifiée) 2 mg,melatonine oraal (gereg. afgifte) 2 mg
20321,2016-10-01,,"méloxicam injection 15 mg / 1,5 ml","meloxicam injectie 15 mg / 1,5 ml"
20370,2016-10-01,,mémantine oral 20 mg [CAVE séc.],memantine oraal 20 mg [CAVE deelb.]
22301,2016-10-01,,mupirocine nasal 20 mg / 1 g,mupirocine nasaal 20 mg / 1 g
22947,2016-10-01,,nicotine dispositif transdermique 7 mg / 24 h,nicotine pleister transdermaal 7 mg / 24 u
23051,2016-10-01,2018-05-17,nisoldipine oral (libér. modifiée) 10 mg,nisoldipine oraal (gereg. afgifte) 10 mg
23093,2016-10-01,,nitisinone oral 5 mg,nitisinon oraal 5 mg
23317,2016-10-01,2017-12-21,noréthistérone oral 10 mg,norethisteron oraal 10 mg
23341,,,,
23515,2016-10-01,,ofloxacine oral 200 mg,ofloxacine oraal 200 mg
23531,2016-10-01,,ofloxacine collyre ophtalmique 3 mg / 1 ml,ofloxacine druppels oculair 3 mg / 1 ml
23655,2016-10-01,,oléate sodium + polidocanol pommade anorectale cutané/rectal 100 mg + 50 mg / 1 g,oleaat natrium + polidocanol zalf voor anorectaal gebruik cutaan/rectaal 100 mg + 50 mg / 1 g
23739,2016-10-01,,olmésartan + amlodipine + hydrochlorothiazide oral 40 mg + 10 mg + 25 mg,olmesartan + amlodipine + hydrochloorthiazide oraal 40 mg + 10 mg + 25 mg
23853,2016-10-01,,oméprazole oral 10 mg,omeprazol oraal 10 mg
23945,2016-10-01,,ondansétron injection/perfusion 8 mg / 4 ml,ondansetron injectie/infusie 8 mg / 4 ml
24000,2016-10-01,,oséltamivir oral 30 mg,oseltamivir oraal 30 mg
24067,2016-10-01,,oxaliplatine perfusion 200 mg / 40 ml,oxaliplatine infusie 200 mg / 40 ml
24125,,,,
23200,2016-10-01,,nitroglycérine rectal 4 mg / 1 g,nitroglycerine rectaal 4 mg / 1 g
23366,2016-10-01,,"ocriplasmine injection/intravitréen 0,5 mg / 0,2 ml","ocriplasmine injectie/intravitreaal 0,5 mg / 0,2 ml"
23440,,,,
23614,2016-10-01,,olanzapine injection (libér. modifiée) 300 mg,olanzapine injectie (gereg. afgifte) 300 mg
24182,2016-10-01,,oxybutynine oral 5 mg,oxybutynine oraal 5 mg
24216,2016-10-01,,oxycodone oral (libér. modifiée) 10 mg,oxycodon oraal (gereg. afgifte) 10 mg
24232,2016-10-01,,oxycodone + naloxone oral (libér. modifiée) 20 mg + 10 mg,oxycodon + naloxon oraal (gereg. afgifte) 20 mg + 10 mg
24281,2016-10-01,,oxycodone injection/perfusion 50 mg / 1 ml,oxycodon injectie/infusie 50 mg / 1 ml
24349,2016-10-01,,"oxymétazoline nasal 0,25 mg / 1 ml","oxymetazoline nasaal 0,25 mg / 1 ml"
26781,2016-10-01,,proxymétacaïne chlorhydrate collyre ophtalmique 5 mg / 1 ml,proxymetacaïne hydrochloride druppels oculair 5 mg / 1 ml
24364,2016-10-01,,oxytétracycline + polymyxine B pommade cutané 30 mg + 10 000 UI / 1 g,oxytetracycline + polymyxine B zalf cutaan 30 mg + 10 000 IE / 1 g
25189,2016-10-01,2017-10-30,"interféron alfa-2b injection 50 µg / 0,5 ml","interferon alfa-2b injectie 50 µg / 0,5 ml"
24398,2016-10-01,,"paclitaxel perfusion 100 mg / 16,7 ml","paclitaxel infusie 100 mg / 16,7 ml"
24430,2016-10-01,,paclitaxel perfusion 600 mg / 100 ml,paclitaxel infusie 600 mg / 100 ml
24463,2016-10-01,,"palipéridone injection (libér. modifiée) 150 mg / 1,5 ml","paliperidon injectie (gereg. afgifte) 150 mg / 1,5 ml"
24570,2016-10-01,,pamidronate perfusion 30 mg / 10 ml,pamidronaat infusie 30 mg / 10 ml
24604,2016-10-01,,pamidronate perfusion 90 mg / 10 ml,pamidronaat infusie 90 mg / 10 ml
24976,2016-10-01,2017-06-12,"paraffine + lactulose + vaseline oral 2,15 g + 1,75 g + 1,07 g / 5 ml","paraffine + lactulose + vaseline oraal 2,15 g + 1,75 g + 1,07 g / 5 ml"
25155,2016-10-01,2017-08-31,interféron alfa-2b injection 120 µg,interferon alfa-2b injectie 120 µg
25114,2016-10-01,,"interféron alfa-2a injection 180 µg / 0,5 ml","interferon alfa-2a injectie 180 µg / 0,5 ml"
25502,2016-10-01,2018-05-17,perméthrine solution cutané 10 mg / 1 g,permethrine oplossing cutaan 10 mg / 1 g
26021,2016-10-01,,povidone collyre ophtalmique 20 mg / 1 ml,povidon druppels oculair 20 mg / 1 ml
26138,2016-10-01,,"povidone iodée solution cutané/vaginal 76,9 mg / 1 ml","povidon-jood oplossing cutaan/vaginaal 76,9 mg / 1 ml"
26450,2016-10-01,,prilocaïne injection 10 mg / 1 ml,prilocaïne injectie 10 mg / 1 ml
25247,2016-10-01,,"Pelargonium sidoides oral 0,82 g / 1 ml","Pelargonium sidoides oraal 0,82 g / 1 ml"
25551,2016-10-01,,"picosulfate oral 7,5 mg / 1 ml","picosulfaat oraal 7,5 mg / 1 ml"
25577,2016-10-01,,pilocarpine chlorhydrate collyre ophtalmique 20 mg / 1 ml,pilocarpine hydrochloride druppels oculair 20 mg / 1 ml
26823,2016-10-01,,"pseudoéphédrine + desloratadine oral (libér. modifiée) 120 mg + 2,5 mg","pseudo-efedrine + desloratadine oraal (gereg. afgifte) 120 mg + 2,5 mg"
26203,2016-10-01,,"pramipexole oral (libér. modifiée) 1,05 mg","pramipexol oraal (gereg. afgifte) 1,05 mg"
24141,2016-10-01,,"oxybuprocaïne chlorhydrate collyre ophtalmique (sans cons.) 1,6 mg / 0,4 ml","oxybuprocaïne hydrochloride druppels oculair (zonder bew.) 1,6 mg / 0,4 ml"
25692,2016-10-01,,pipéracilline + tazobactam perfusion 2 g + 250 mg,piperacilline + tazobactam infusie 2 g + 250 mg
25718,2016-10-01,,pipéraquine + arténimol oral 320 mg + 40 mg,piperaquine + artenimol oraal 320 mg + 40 mg
25866,2016-10-01,,"Plantago ovata + Cassia senna oral 2,76 g + 8,3 mg / 5 g","Plantago ovata + Cassia senna oraal 2,76 g + 8,3 mg / 5 g"
26153,2016-10-01,,"povidone iodée + isopropanol spray cutané 9,1 mg + 455 mg / 1 ml","povidon-jood + isopropanol spray cutaan 9,1 mg + 455 mg / 1 ml"
26377,2016-10-01,,prednisolone acétate collyre ophtalmique 10 mg / 1 ml,prednisolon acetaat druppels oculair 10 mg / 1 ml
25833,2016-10-01,,piroxicam gel transdermique local 5 mg / 1 g,piroxicam gel transdermaal lokaal 5 mg / 1 g
26070,,,,
26112,2016-10-01,,povidone iodée + éthanol solution cutané 50 mg + 690 mg / 1 ml,povidon-jood + ethanol oplossing cutaan 50 mg + 690 mg / 1 ml
26492,2016-10-01,,procyclidine oral 5 mg,procyclidine oraal 5 mg
26567,2016-10-01,2017-07-23,prométhazine injection 50 mg / 2 ml,promethazine injectie 50 mg / 2 ml
26609,2016-10-01,,propivérine oral 15 mg,propiverine oraal 15 mg
27953,2016-10-01,,ropinirole oral (libér. modifiée) 4 mg,ropinirol oraal (gereg. afgifte) 4 mg
28449,2016-10-01,,"saxagliptine + metformine oral 2,5 mg + 1 g","saxagliptine + metformine oraal 2,5 mg + 1 g"
26633,2016-10-01,2016-10-31,propofol injection/perfusion 1 g / 100 ml,propofol injectie/infusie 1 g / 100 ml
26666,2016-10-01,,propofol injection/perfusion 200 mg / 20 ml,propofol injectie/infusie 200 mg / 20 ml
28381,2016-10-01,,salmétérol + fluticasone inhalé 50 µg + 250 µg / 1 dos.,salmeterol + fluticason inhalatie 50 µg + 250 µg / 1 dos.
25973,2016-10-01,,"virus de la poliomyélite types I, II, III injection","poliomyelitisvirus types I, II, III injectie"
28753,2016-10-01,,simvastatine oral 20 mg [CAVE séc.],simvastatine oraal 20 mg [CAVE deelb.]
26898,2016-10-01,,pyridoxine injection/perfusion/oral 100 mg / 2 ml,pyridoxine injectie/infusie/oraal 100 mg / 2 ml
27367,,,,
28027,2016-10-01,,"ropivacaïne injection/perfusion 7,5 mg / 1 ml","ropivacaïne injectie/infusie 7,5 mg / 1 ml"
28068,2016-10-01,,rosuvastatine oral 5 mg,rosuvastatine oraal 5 mg
26922,2016-10-01,2018-01-17,pyridoxine + thiamine oral 250 mg + 237 mg,pyridoxine + thiamine oraal 250 mg + 237 mg
26971,2016-10-01,,quétiapine oral 25 mg,quetiapine oraal 25 mg
27037,2016-10-01,,"quinapril + hydrochlorothiazide oral 10 mg + 12,5 mg","quinapril + hydrochloorthiazide oraal 10 mg + 12,5 mg"
27193,2016-10-01,,ramipril + hydrochlorothiazide oral 5 mg + 25 mg,ramipril + hydrochloorthiazide oraal 5 mg + 25 mg
27326,2016-10-01,,rémifentanil injection/perfusion 1 mg,remifentanil injectie/infusie 1 mg
27524,2016-10-01,,rifampicine oral 150 mg,rifampicine oraal 150 mg
27565,2016-10-01,,rifaximine oral 550 mg,rifaximine oraal 550 mg
27714,2016-10-01,,rispéridone oral 6 mg [CAVE séc.],risperidon oraal 6 mg [CAVE deelb.]
27748,2016-10-01,2017-06-12,ritonavir oral 400 mg / 5 ml,ritonavir oraal 400 mg / 5 ml
27813,2016-10-01,,"rivastigmine oral 1,5 mg","rivastigmine oraal 1,5 mg"
27847,2016-10-01,,"rivastigmine dispositif transdermique 4,6 mg / 24 h","rivastigmine pleister transdermaal 4,6 mg / 24 u"
27987,2016-10-01,,ropivacaïne injection/perfusion 10 mg / 1 ml,ropivacaïne injectie/infusie 10 mg / 1 ml
28159,,,,
28191,2016-10-01,,ruxolitinib oral 20 mg,ruxolitinib oraal 20 mg
28324,2016-10-01,,salmétérol inhalé 25 µg / 1 dos.,salmeterol inhalatie 25 µg / 1 dos.
28480,2016-10-01,,"scopolamine injection/perfusion 0,25 mg / 1 ml","scopolamine injectie/infusie 0,25 mg / 1 ml"
28530,2016-10-01,,sélénium sulfure shampoing cutané 25 mg / 1 ml,selenium sulfide shampoo cutaan 25 mg / 1 ml
28639,2016-10-01,,sévélamer oral 800 mg,sevelamer oraal 800 mg
28704,2016-10-01,,silodosine oral 4 mg,silodosine oraal 4 mg
28720,2016-10-01,,Silybum marianum oral 140 mg,Silybum marianum oraal 140 mg
28845,2016-10-01,,sitagliptine oral 25 mg,sitagliptine oraal 25 mg
30890,,,,
28100,2016-10-01,,rotigotine dispositif transdermique 4 mg / 24 h,rotigotine pleister transdermaal 4 mg / 24 u
28225,2016-10-01,,salbutamol inhalé 100 µg / 1 dos.,salbutamol inhalatie 100 µg / 1 dos.
28266,2016-10-01,,salbutamol oral 2 mg,salbutamol oraal 2 mg
28308,2016-10-01,,acide salicylique solution cutané 167 mg / 1 g,salicylzuur oplossing cutaan 167 mg / 1 g
28860,2016-10-01,,sitagliptine + metformine oral 50 mg + 850 mg,sitagliptine + metformine oraal 50 mg + 850 mg
28928,2016-10-01,,"somatostatine injection 0,25 mg","somatostatine injectie 0,25 mg"
29447,2016-10-01,,"sumatriptan injection 6 mg / 0,5 ml","sumatriptan injectie 6 mg / 0,5 ml"
30635,2016-10-01,,"tinzaparine injection 14 000 UI anti-Xa / 0,7 ml","tinzaparine injectie 14 000 IE anti-Xa / 0,7 ml"
30668,2016-10-01,,"tinzaparine injection 3 500 UI anti-Xa / 0,35 ml","tinzaparine injectie 3 500 IE anti-Xa / 0,35 ml"
30718,2016-10-01,,tipranavir oral 250 mg,tipranavir oraal 250 mg
29223,2016-10-01,,sufentanil injection/perfusion 10 µg / 2 ml,sufentanil injectie/infusie 10 µg / 2 ml
28944,2016-10-01,,"somatropine injection 10 mg / 1,5 ml","somatropine injectie 10 mg / 1,5 ml"
29314,2016-10-01,,sulfaméthoxazole + triméthoprime oral 200 mg + 40 mg / 5 ml,sulfamethoxazol + trimethoprim oraal 200 mg + 40 mg / 5 ml
30536,2016-10-01,,tilidine + naloxone oral (libér. modifiée) 150 mg + 12 mg,tilidine + naloxon oraal (gereg. afgifte) 150 mg + 12 mg
30288,2016-10-01,,théophylline oral (libér. modifiée) 300 mg,theofylline oraal (gereg. afgifte) 300 mg
29264,2016-10-01,,sugammadex injection 500 mg / 5 ml,sugammadex injectie 500 mg / 5 ml
30569,2016-10-01,,"timolol gel ophtalmique (sans cons.) 0,4 mg / 0,4 g","timolol gel oculair (zonder bew.) 0,4 mg / 0,4 g"
29165,2016-10-01,,"Sterculia urens oral 3,1 g / 5 g","Sterculia urens oraal 3,1 g / 5 g"
32912,2016-10-01,,"riociguat oral 2,5 mg","riociguat oraal 2,5 mg"
29348,2016-10-01,,sulfaméthoxazole + triméthoprime oral 800 mg + 160 mg,sulfamethoxazol + trimethoprim oraal 800 mg + 160 mg
29413,2016-10-01,,sumatriptan nasal 10 mg / 1 dos.,sumatriptan nasaal 10 mg / 1 dos.
29504,2016-10-01,,suxaméthonium injection/perfusion 100 mg / 2 ml,suxamethonium injectie/infusie 100 mg / 2 ml
29546,2016-10-01,,"tacrolimus pommade cutané 0,3 mg / 1 g","tacrolimus zalf cutaan 0,3 mg / 1 g"
29579,2016-10-01,,tacrolimus pommade cutané 1 mg / 1 g,tacrolimus zalf cutaan 1 mg / 1 g
29611,2016-10-01,,tacrolimus perfusion 5 mg / 1 ml,tacrolimus infusie 5 mg / 1 ml
29736,2016-10-01,,"tégafur + giméracil + otéracil oral 15 mg + 4,35 mg + 11,8 mg","tegafur + gimeracil + oteracil oraal 15 mg + 4,35 mg + 11,8 mg"
29843,2016-10-01,,telmisartan + amlodipine oral 80 mg + 10 mg,telmisartan + amlodipine oraal 80 mg + 10 mg
29868,2016-10-01,,"telmisartan + hydrochlorothiazide oral 80 mg + 12,5 mg [CAVE séc.]","telmisartan + hydrochloorthiazide oraal 80 mg + 12,5 mg [CAVE deelb.]"
29918,2016-10-01,2017-07-30,témoporfine injection 20 mg / 5 ml,temoporfine injectie 20 mg / 5 ml
29967,2016-10-01,,témozolomide oral 20 mg,temozolomide oraal 20 mg
30148,2016-10-01,,terlipressine injection/perfusion 1 mg,terlipressine injectie/infusie 1 mg
30189,2016-10-01,2018-10-08,testostérone gel transdermique 50 mg / 5 g,testosteron gel transdermaal 50 mg / 5 g
30460,2016-10-01,,tiapride oral 150 mg / 1 ml,tiapride oraal 150 mg / 1 ml
30502,2016-10-01,,tigécycline perfusion 50 mg,tigecycline infusie 50 mg
30510,2016-10-01,,Tilia sylvestris oral 250 mg,Tilia sylvestris oraal 250 mg
30742,2016-10-01,,tizanidine oral 4 mg,tizanidine oraal 4 mg
30825,2016-10-01,,tocilizumab perfusion 200 mg / 10 ml,tocilizumab infusie 200 mg / 10 ml
30064,2016-10-01,,térazosine oral 2 mg [CAVE séc.],terazosine oraal 2 mg [CAVE deelb.]
30098,2016-10-01,,terbinafine solution cutané 10 mg / 1 g,terbinafine oplossing cutaan 10 mg / 1 g
30361,,,,
30924,,,,
30965,2016-10-01,,topotécan oral 1 mg,topotecan oraal 1 mg
31823,,,,
32540,2016-10-01,,"zopiclone oral 7,5 mg","zopiclon oraal 7,5 mg"
31856,2016-10-01,,valsartan + hydrochlorothiazide oral 160 mg + 25 mg,valsartan + hydrochloorthiazide oraal 160 mg + 25 mg
31005,2016-10-01,,"torasémide oral 2,5 mg","torasemide oraal 2,5 mg"
31724,2016-10-01,,Valeriana officinalis oral 500 mg,Valeriana officinalis oraal 500 mg
31757,,,,
32250,2016-10-01,,voriconazole oral 200 mg,voriconazol oraal 200 mg
31021,2016-10-01,,tosylchloramide sodium pommade cutané 15 mg / 1 g,tosylchlooramide natrium zalf cutaan 15 mg / 1 g
31047,2016-10-01,,tosylchloramide sodium comprimé pour solution cutané/vaginal 250 mg,tosylchlooramide natrium tablet voor oplossing cutaan/vaginaal 250 mg
31526,2016-10-01,,tropisétron injection/perfusion 5 mg / 5 ml,tropisetron injectie/infusie 5 mg / 5 ml
31252,2016-10-01,,"tramazoline nasal 1,18 mg / 1 ml","tramazoline nasaal 1,18 mg / 1 ml"
32755,2016-10-01,,aprépitant oral 125 mg (I) + aprépitant oral 80 mg (II),aprepitant oraal 125 mg (I) + aprepitant oraal 80 mg (II)
32938,2016-10-01,,pomalidomide oral 3 mg,pomalidomide oraal 3 mg
31120,,,,
15024,2016-10-01,,Groupe Cofact faible dose injection/perfusion,Groep Cofact lage dosis injectie/infusie
15040,2016-10-01,,Groupe Confidex perfusion,Groep Confidex infusie
14977,2016-10-01,,Groupe Aporil sol. cutané,Groep Aporil oploss. cutaan
30338,2016-10-01,,thiamphénicol injection/instillation 500 mg,thiamfenicol injectie/instillatie 500 mg
31351,2016-10-01,,triamcinolone injection (libér. modifiée) 10 mg / 1 ml,triamcinolon injectie (gereg. afgifte) 10 mg / 1 ml
31500,2016-10-01,,tropicamide collyre ophtalmique 5 mg / 1 ml,tropicamide druppels oculair 5 mg / 1 ml
31641,,,,
31658,2016-10-01,,"ustékinumab injection 45 mg / 0,5 ml","ustekinumab injectie 45 mg / 0,5 ml"
31690,2016-10-01,,Valeriana officinalis + Passiflora incarnata oral 125 mg + 250 mg,Valeriana officinalis + Passiflora incarnata oraal 125 mg + 250 mg
31914,2016-10-01,,vancomycine perfusion 1 g,vancomycine infusie 1 g
32045,2016-10-01,,venlafaxine oral (libér. modifiée) 225 mg,venlafaxine oraal (gereg. afgifte) 225 mg
32060,2016-10-01,,venlafaxine oral (libér. modifiée) 75 mg,venlafaxine oraal (gereg. afgifte) 75 mg
32136,2016-10-01,,vildagliptine + metformine oral 50 mg + 1 g,vildagliptine + metformine oraal 50 mg + 1 g
32177,2016-10-01,,vincristine injection/perfusion 1 mg / 1 ml,vincristine injectie/infusie 1 mg / 1 ml
32227,2016-10-01,2017-06-12,Vitex agnus-castus oral 20 mg,Vitex agnus-castus oraal 20 mg
32284,2016-10-01,,peroxyde d'hydrogène solution cutané 3 %,waterstofperoxide oplossing cutaan 3 %
32318,,,,
32441,2016-10-01,,"zofénopril + hydrochlorothiazide oral 30 mg + 12,5 mg","zofenopril + hydrochloorthiazide oraal 30 mg + 12,5 mg"
32490,2016-10-01,,zolmitriptan nasal 5 mg / 1 dos.,zolmitriptan nasaal 5 mg / 1 dos.
32565,2016-10-01,,zuclopenthixol injection (libér. modifiée) 200 mg / 1 ml,zuclopenthixol injectie (gereg. afgifte) 200 mg / 1 ml
2949,2016-10-01,,"Ballota foetida + Crataegus oxyacantha + Passiflora incarnata oral 0,33 ml + 0,33 ml + 0,33 ml / 1 ml","Ballota foetida + Crataegus oxyacantha + Passiflora incarnata oraal 0,33 ml + 0,33 ml + 0,33 ml / 1 ml"
6601,2016-10-01,,"cinchocaïne chlorhydrate + prednisolone caproate pommade anorectale cutané/rectal 5 mg + 1,9 mg / 1 g","cinchocaïne hydrochloride + prednisolon caproaat zalf voor anorectaal gebruik cutaan/rectaal 5 mg + 1,9 mg / 1 g"
7732,2016-10-01,,Crataegus + Passiflora incarnata + Valeriana officinalis oral 25 mg + 25 mg + 100 mg,Crataegus + Passiflora incarnata + Valeriana officinalis oraal 25 mg + 25 mg + 100 mg
12013,2016-10-01,2018-08-30,exénatide injection (libér. modifiée) 2 mg,exenatide injectie (gereg. afgifte) 2 mg
14639,2016-10-01,,Ginkgo biloba oral 40 mg / 1 ml,Ginkgo biloba oraal 40 mg / 1 ml
14860,2016-10-01,2018-10-08,"salicylate glycol + lidocaïne chlorhydrate + nicotinate méthyle spray cutané 60 mg + 17,3 mg + 20 mg / 1 ml","salicylaat glycol + lidocaïne hydrochloride + nicotinaat methyl spray cutaan 60 mg + 17,3 mg + 20 mg / 1 ml"
19430,2016-10-01,,"lidocaïne chlorhydrate + triamcinolone acétonide pommade anorectale cutané/rectal 50 mg + 0,25 mg / 1 g","lidocaïne hydrochloride + triamcinolon acetonide zalf voor anorectaal gebruik cutaan/rectaal 50 mg + 0,25 mg / 1 g"
414,2016-10-01,,acide acétylsalicylique oral (cardiovasc.) 80 mg,acetylsalicylzuur oraal (cardiovasc.) 80 mg
27557,2016-10-01,,rifamycine solution injectable/pour perfusion/instillation injection/perfusion/instillation/cutané 500 mg / 10 ml,rifamycine oplossing voor injectie/infusie/instillatie injectie/infusie/instillatie/cutaan 500 mg / 10 ml
32771,2016-10-01,2017-06-12,"bisacodyl oral 5 mg (I) + phosphate disodium + phosphate monosodium oral 477 mg + 2,09 g (II) [CAVE solide/liq.]","bisacodyl oraal 5 mg (I) + fosfaat dinatrium + fosfaat mononatrium oraal 477 mg + 2,09 g (II) [CAVE vast/vloeib.]"
32664,2016-10-01,2018-11-11,alfuzosine oral (libér. modifiée) 1x/j 10 mg,alfuzosine oraal (gereg. afgifte) 1x/d 10 mg
3970,2016-10-01,2018-07-31,virus des oreillons + virus de la rougeole + virus de la rubéole + virus de la varicelle injection,bofvirus + mazelenvirus + rubellavirus + varicellavirus injectie
32896,2016-10-01,,"riociguat oral 1,5 mg","riociguat oraal 1,5 mg"
6031,2016-10-01,,Chamomilla recutita extrait éthanolique solution cutané/oral/oromuqueux,Chamomilla recutita ethanolisch extract oplossing cutaan/oraal/oromucosaal
12625,2016-10-01,2019-01-20,fentanyl buccal 600 µg,fentanyl buccaal 600 µg
4598,2016-10-01,,bupropione oral (libér. modifiée) (arrêt du tabagisme) 150 mg,bupropion oraal (gereg. afgifte) (rookstop) 150 mg
4606,2016-10-01,,bupropione oral (libér. modifiée) (antidépresseur) 300 mg,bupropion oraal (gereg. afgifte) (antidepressivum) 300 mg
32763,2016-10-01,,acide ascorbique oral 1 g / 5 ml (I) + acides aminés oral (II),ascorbinezuur oraal 1 g / 5 ml (I) + aminozuren oraal (II)
32672,2016-10-01,,cartéolol chlorhydrate collyre ophtalmique (sans cons.) 20 mg / 1 ml,carteolol hydrochloride druppels oculair (zonder bew.) 20 mg / 1 ml
19018,2016-10-01,,lévodopa + carbidopa + entacapone oral 200 mg + 50 mg + 200 mg,levodopa + carbidopa + entacapon oraal 200 mg + 50 mg + 200 mg
1636,2016-10-01,2017-10-30,amitriptyline oral (libér. modifiée) 25 mg,amitriptyline oraal (gereg. afgifte) 25 mg
3384,2016-10-01,,"bétaméthasone oral 0,5 mg / 1 ml","betamethason oraal 0,5 mg / 1 ml"
7724,2016-10-01,,"corifollitropine alfa injection 0,1 mg / 0,5 ml","corifollitropine alfa injectie 0,1 mg / 0,5 ml"
14514,2016-10-01,,gemcitabine perfusion 2 g / 20 ml,gemcitabine infusie 2 g / 20 ml
24059,2016-10-01,,oxaliplatine perfusion 100 mg / 20 ml,oxaliplatine infusie 100 mg / 20 ml
29355,2016-10-01,,sulfasalazine oral 500 mg,sulfasalazine oraal 500 mg
22400,2016-10-01,,"nadroparine injection 15 200 UI anti-Xa / 0,8 ml","nadroparine injectie 15 200 IE anti-Xa / 0,8 ml"
15768,2016-10-01,2016-10-31,hydrochlorothiazide + spironolactone oral 25 mg + 25 mg,hydrochloorthiazide + spironolacton oraal 25 mg + 25 mg
8292,2016-10-01,,"darifénacine oral (libér. modifiée) 7,5 mg","darifenacine oraal (gereg. afgifte) 7,5 mg"
10553,2016-10-01,,épirubicine perfusion/instillation 10 mg / 5 ml,epirubicine infusie/instillatie 10 mg / 5 ml
12708,2016-10-01,,phényléphrine + chlorphénamine oral 10 mg + 4 mg,fenylefrine + chloorfenamine oraal 10 mg + 4 mg
10827,2016-10-01,,"époétine bêta injection 6 000 UI / 0,3 ml","epoëtine bèta injectie 6 000 IE / 0,3 ml"
13706,2016-10-01,,"follitropine alfa injection 900 UI / 1,5 ml","follitropine alfa injectie 900 IE / 1,5 ml"
25726,2016-10-01,,piracétam perfusion 12 g / 60 ml,piracetam infusie 12 g / 60 ml
20412,2016-10-01,,méningocoques type C injection,meningokokken type C injectie
16733,2016-10-01,,immunoglobulines injection/perfusion 2 g / 10 ml,immunoglobulinen injectie/infusie 2 g / 10 ml
32870,,,,
