@actorNr,@from,Denomination,StreetName,StreetNum,Postcode,City,CountryCode,Language,LegalForm,Building,Phone,Postbox,AuthorisationNr,VatNr,Website
01580,1960-01-01,Proxi-Pharma,Rue de la Presse,4,1000,Bruxelles,BE,FR,SPRL,,02/2271161,,,,
01581,1960-01-01,Easytrac-Id,Desguinlei,336,2018,Antwerpen,BE,NL,BVBA,,03/2939749,3,,,
01582,1960-01-01,Elects,Rue E. Francqui,3,1435,Mont-Saint-Guibert,BE,FR,SA,,010/835011,,1582H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0888.210.786')])",
01583,1960-01-01,P.I.T. Consultants,Transvaalstraat,30,2600,Berchem,BE,NL,BVBA,,015/520152,,,,
01584,1960-01-01,Kristina De Turck,Vierbergen,48,1755,Gooik,BE,NL,,,,,,,
01585,1960-01-01,Sterigenics Belgium (Fleurus),Z.I. Avenue De L'Esperance,,6220,FLEURUS,BE,FR,SA,,016/525228,,1585H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0442 042 064')])",
01587,1960-01-01,Tigenix,Romeinsestraat,12,3001,Leuven,BE,NL,NV,,016/347969,2,1587H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0471.340.123')])",
01588,1960-01-01,Alpha-Zeta,Steilvoordehof,6A,9070,Heusden,BE,NL,BVBA,,09/2323418,,1588H,,
01589,1960-01-01,Aca Pharma,Textielstraat,24,8790,Waregem,BE,NL,BVBA,,056/628900,,,,
01590,1960-01-01,Jeannine Lagasse,Avenue Brugmann,535,1180,Bruxelles,BE,FR,,,,,,,
01591,1960-01-01,Farmaconsult,Platanendreef,45,9090,Melle,BE,NL,BVBA,,,,,,
01592,1960-01-01,Teofarma,Vieux Chem.Du Poète (Sgs Belg),10,1301,Wavre,BE,FR,Srl,,,,,,
01593,1960-01-01,Janssen Pharmaceut(Div.Res.&Develop),Turnhoutseweg,30,2340,Beerse,BE,NL,NV,,014/602111,,,,
01594,1960-01-01,All-In-1,Molenberglei,36,2627,Schelle,BE,NL,BVBA,,32868888,,1594H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0864.603.461')])",
01595,1960-01-01,Bristol-Myers Squibb Int.Corp.,Parc D'Alliance Av.De Finlande,8,1420,Braine L'Alleud,BE,FR,,,02/3527646,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0415.033.504')])",
01596,1960-01-01,Genzyme Belgium,Ikaroslaan,53,1930,Zaventem,BE,NL,NV,,02/7141706,,1596H,,
01597,1960-01-01,Unibo,Ambachtsstraat,34,2390,MALLE,BE,NL,BVBA,,03/3090550,,1597H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0445.557.919')])",
01598,1960-01-01,Comaso,Charleroisesteenweg,119,1060,Brussel,BE,NL,NV,,02/5420687,,,,
01600,1960-01-01,Dhl Solutions (Belgium),Iz Mechelen Noord Zandvoortstr,3,2800,Mechelen,BE,NL,NV,,052/308700,,1600H,,
01601,1960-01-01,Medini,Legeweg,157I,8020,OOSTKAMP,BE,NL,NV,,050/314510,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0871 818 182')])",
01602,1960-01-01,Arpapharm,Samberstraat,7,2060,Antwerpen,BE,NL,NV,,03/2069370,,,,
01603,1960-01-01,Axopharma,Avenue du Commerce,42A,1420,Braine L'Alleud,BE,NL,SA,,02/3844082,,,,
01604,1960-01-01,Pulsion Benelux,Maaltecentr Blok G Derbystraat,341,9051,Gent,BE,NL,NV,,09/2429910,,1604H,,
01605,1960-01-01,Brumedine,Zeelaan,7,9900,Eeklo,BE,NL,NV,,09/3270056,,,,
01606,1960-01-01,Arop Sociale Rehabilitatie,Engelselei,44,2140,Borgerhout,BE,NL,VZW,,03/2350367,,,,
01607,1960-01-01,Dsv Solutions,Eddastraat,21,9042,Gent,BE,NL,NV,,09/2500895,,1607H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0406.758.414')])",
01608,1960-01-01,Distriphar,Rue Harenheyde,57,1130,Haren,BE,FR,SA,,0475/595713,,1608H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0876.852.383')])",
01609,1960-01-01,Westpharma,Leegstraat,12b,8780,OOSTROZEBEKE,BE,NL,NV,,051/314348,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0874 475 784')])",
01610,1960-01-01,Pierre Fabre Sante Benelux,Rue Henri-Joseph Genesse,1,1070,ANDERLECHT,BE,FR,SA,,02/556.49.91,,1610H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0873 895 467')])",
01611,1960-01-01,Arvato Services Healthcare France SAS,Maalbeekweg,57,1930,Zaventem,BE,NL,,,02/7212438,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0862.879.633')])",
01612,1960-01-01,Betaplus Pharma,Avenue Hippocrate,10B,1200,Bruxelles,BE,FR,,,,1527,1612H,,
01616,1960-01-01,Pharmavize,Kleimoer,4,9030,Mariakerke,BE,NL,NV,,09/2676500,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0453.881.707')])",
01617,1960-01-01,Barette,Rue du Bronze,9-11,1070,Bruxelles,BE,FR,SA,,02/5217649,,,,
01618,1960-01-01,Infarmed,Stationstraat,27,3570,Alken,BE,NL,BVBA,,,,,,
01619,1960-01-01,Galliker Transport Sa Liege (Belgique),Avenu du Parc Industriel,,4041,Milmort,BE,FR,,,04/2780101,,1619H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0440 908 550')])",
01620,1960-01-01,Value Pharma International,Interleuvenlaan,66,3001,Heverlee,BE,NL,NV,,016/387318,,,,
01621,1960-01-01,Winthrop Pharmaceuticals Belgium,Culliganlaan,1C,1831,Diegem,BE,NL,,,,,,,
01622,1960-01-01,Centre De Distribution D'Essais Clinique,Avenue Dr.G. Therasse,1,5530,Yvoir,BE,FR,,,081/423317,,,,
01623,1960-01-01,Waaroost,Kortrijksestraat,396A,8020,Oostkamp,BE,NL,NV,,050/278326,,,,
01624,1960-01-01,Schippers Europe,Rond Deel,12,5531,Bk Bladel Nl,BE,NL,BV,,031 0 497382017,,,,
01625,1960-01-01,Provimed,Muizenstraat,16,2060,Antwerpen,BE,NL,,,03/2322875,,1625H,,
01627,1960-01-01,Facta,Sportstraat,53,8400,OOSTENDE,BE,NL,BVBA,,0496/32.80.49,,1627H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0863.867.449')])",
01628,1960-01-01,Ablynx,Technologiepark,21,9052,Zwijnaarde,BE,NL,NV,,09/2620000,,1628H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0475.295.446')])",
01629,1960-01-01,Yusen Logistics (Belgium),Keetberglaan,2,9120,Melsele,BE,NL,NV,,03/5706906,,1629H,,
01630,1960-01-01,Fortilab,Excelsiorlaan,16,1930,ZAVENTEM,BE,FR,SPRL,,,,1630H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0877.764.579')])",
01631,1960-01-01,Euromaid,Rue Scailquin,37,1210,Bruxelles,BE,FR,SPRL,,02/2183313,,1631H,,
01633,1960-01-01,Aseptic Technologies,Rue Camille Hubert,7-9,5032,Les Isnes,BE,FR,SA,,081/409410,,1633H,,
01634,1960-01-01,Sanofarm,Polderstraat,5,8340,DAMME,BE,NL,cvoa,,050/350544,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0865.819.327')])",
01635,1960-01-01,Vetrinord,Nijverheidsstraat,16/18,2990,WUUSTWEZEL,BE,NL,BVBA,,03/3138506,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0878.108.336')])",
01636,1960-01-01,Mpca,Vrijestraat,28,9960,Assenede,BE,NL,BVBA,,,,,,
01637,1960-01-01,PI Pharma,Square Marie Curie,50,1070,ANDERLECHT,BE,NL,NV,,02/526.64.16,,1637H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0883.315.652')])",
01638,1960-01-01,Robacon,Groeningenlei,147,2550,Kontich,BE,NL,BVBA,,0475/926538,,,,
01639,1960-01-01,Impharmex Europe,Koloniënstraat,11,1000,Brussel,BE,NL,BVBA,,,,,,
01640,1960-01-01,Santesa,Walgoedstraat,12A,9140,Temse,BE,NL,BV,,03/7809030,,,,
01641,1960-01-01,Nadimed,Uilenbaan,90/2BB,2160,WOMMELGEM,BE,NL,BVBA,,03/230 36 3,,1641H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0859 727 529')])",
01642,1960-01-01,Vemedia,Parc Industriel,19,1440,Wauthier Braine,BE,FR,SA/NV,,,,,,
01644,1960-01-01,Huvepharma,Uitbreidingstraat,80,2600,Antwerpen,BE,NL,NV,,03/2928305,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0875.283.062')])",
01645,1960-01-01,Limacom,Ginderoverstraat,32,3590,Diepenbeek,BE,NL,NV,,,,,,
01646,1960-01-01,Central Pharmaceutical Supplies,Acaciadreef,9,2900,Schoten,BE,NL,BVBA,,,,,,
01647,1960-01-01,Janssen-Cilag International,Turnhoutseweg,30,2340,Beerse,BE,NL,NV,,,,,,
01648,1960-01-01,Propharex,Rue du Luxembourg,9,6180,Courcelles,BE,FR,SA,,071/469636,,1648H,,
01649,1960-01-01,Aesclepion Pharma,Herdersbruggestraat,71,8380,Dudzele,BE,NL,BVBA,,50788676,,,,
01650,1960-01-01,Iba,Avenue de L'Esperance,1,6220,Fleurus,BE,FR,SA,,09/12/2009,,1650H,,
01651,1960-01-01,Schering-Plough Europe,Rue de Stalle,73,1180,Bruxelles,BE,FR,,,,,,,
01653,1960-01-01,Bipharma,Brusselstraat,51,2018,Antwerpen,BE,NL,NV,,03/2441837,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0884.868.444')])",
01654,1960-01-01,Pharmacross,Poeldendries,49,9850,Landegem,BE,NL,BVBA,,09/3291229,,1654H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0888.580.475')])",
01655,1960-01-01,J.M. Van Den Eeckhout Produits Lobert,Dalstraat,29,9100,SINT-NIKLAAS,BE,FR,,,,,,,
01656,1960-01-01,Vemedia Pharma,Anna Bijnslaan,20,8500,Kortrijk,BE,NL,NV,,,,,,
01657,1960-01-01,Intrexon Actobiotics,Industriepark Zwijnaarde,7 bus C,9052,Zwijnaarde,BE,NL,NV,,09/2610611,BUILDING D,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0882.251.820')])",
01658,1960-01-01,Celgene,Place de Luxembourg,1,1420,BRAINE-L'ALLEUD,BE,FR,SPRL,Parc d'Alliance bâtiment E1,02/5488546,,1658H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0882.012.387')])",
01659,1960-01-01,Bracco Imaging Europe,Avenue Pasteur,6,1300,Wavre,BE,FR,BV,Centre d'affaires NCI Collines de Wavre Bâtiment H,064/236640,,1659H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0892.349.322')])",
01660,1960-01-01,Henri Essers & Zonen Internationaal Transport,Transportlaan,4,3600,GENK,BE,NL,NV,,02/7565970,,1660H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0401 296 720')])",
01661,1960-01-01,Johnson & Johnson Medical,Leonardo Da Vincilaan,15,1831,Diegem,BE,NL,NV,,02/481742,,1661H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0425.967.580')])",
01662,1960-01-01,Cent.Spec.Pharmaceut.Benelux (Csp),Complex Magna Park Rue de la Reconversion,19,7110,Houdeng-Goegnies,BE,FR,SA,,064/23.99.14,,1662H,,
01663,1960-01-01,Lamoral,Textielstraat,24,8790,Waregem,BE,NL,NV,,070/233114,,1663H,,
01664,1960-01-01,Pour Demain,Rue de la Grotte,8,4690,BASSENGE,BE,FR,asbl,,,,1664H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0407.841.646')])",
01665,1960-01-01,Laboratoire Bailleul,Avenue Prekelinden,64,1200,Brussel3,BE,NL,,,,2,,,
01666,1960-01-01,Celyad,Rue Edouard Belin,2,1435,MONT-SAINT-GUIBERT,BE,FR,SA,,010/394123,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0891.118.115')])",
01667,1960-01-01,Nordic Pharma,Laarstraat,16,2610,Wilrijk,BE,NL,,,03/8205220,10,,,
01669,1960-01-01,Odyssea Pharma,Rue du Travail,16,4460,GRÂCE-HOLLOGNE,BE,FR,SA,,04 2397220,,1669H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0892.121.272')])",
01670,1960-01-01,Alexion Pharma Belgium,de Meeûssquare,23,1000,BRUSSEL,BE,NL,BVBA,,0478/99.23.97,,1670H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0895 692 555')])",
01671,1960-01-01,OPSLAG EN DISTRIBUTIE TER HAEGHE (O.D.T.H.),Doelhaagstraat,72,2840,RUMST,BE,NL,NV,,03/8807260,,1671H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0448.816.228')])",
01672,1960-01-01,Les Pharmaciens Associes,Boulevard de L'Humanité,55,1070,ANDERLECHT,BE,FR,SA,,02/3490240,,1672H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0898.893.060')])",
01673,1960-01-01,Entiris,Nijverheidslaan,47,3290,DIEST,BE,NL,VZW,,0473/719631,,1673H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0407.841.151')])",
01674,1960-01-01,Danos International,Rue de la Fusée,64,1140,Evere,BE,FR,SPRL,,02/2087808,,,,
01675,1960-01-01,Biphar,Schurhovenveld,2441,3800,Sint Truiden,BE,NL,CVBA,,011/480330,,1675H,,
01676,1960-01-01,Sterima-Vanguard Logistic Services,Bissegemstraat,85,8501,Heule,BE,NL,NV,,,,1676H,,
01677,1960-01-01,Gmed Health Care Limited,Rue du Luxembourg,5,6180,Courcelles,BE,FR,Srl,,44789602520,,1677H,,
01678,1960-01-01,Daxant,Rue de la Royauté,70,1020,Laken,BE,FR,SA,,02/4281525,,1678H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0426.468.616')])",
01679,1960-01-01,HCS,H. Kennisstraat,53,2650,EDEGEM,BE,NL,BVBA,,,,,,
01680,1960-01-01,Shire-Movetis,Veedijk,58,2300,Turnhout,BE,NL,NV,,014/404398,,1680H,,
01681,1960-01-01,Vitafor,Industriepark Noord,18,9100,Sint-Niklaas,BE,FR,NV,,03/7600699,,,,
01682,1960-01-01,Pharinex,Waterlaatstraat,42,2970,SCHILDE,BE,NL,BVBA,,,,,,
01683,1960-01-01,Vande Weghe Pharma,Kruisenstraat,1,9270,Kalken,BE,NL,BVBA,,495505822,,1683H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0817.773.247')])",
01684,1960-01-01,Oxycure Belgium,Rue L. Genicot,9,5380,Fernelmont,BE,FR,SA,Business Park,081/221590,,1684H,,
01685,1960-01-01,Arseus Belgie,Textielstraat,20,8790,Waregem,BE,NL,NV,,056/628912,,1685H,,
01686,1960-01-01,Universal Pharma,Rue Montavaux,155,7080,FRAMERIES,BE,FR,SA,,065/662900,,1686H,,
01687,1960-01-01,Consortium Caib,Rue Jean Rosoux,2,4280,Hannut,BE,FR,SPRL,,,,,,
01688,1960-01-01,Dhl Global Forwarding (Belgium),Bedrijvenzone Machelen Cargo,830,1830,MACHELEN,BE,NL,NV,,02/752.36.65 of 0495/580.209,,1688H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0400.615.641')])",
01689,1960-01-01,Takeda Pharmaceuticals Benelux,Joseph Wybranlaan,40,1070,Anderlecht,BE,NL,BVBA,,015/340465,,1689H,,
01690,1960-01-01,2Pharma  DELETED,Kapelstraat,154,3550,Heusden-Zolder,BE,NL,NV,,,,,,
01691,1960-01-01,ABC  Chemicals,Venecoweg,20A,9810,NAZARETH,BE,NL,NV,,,,1691H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0883.273.090')])",
01692,1960-01-01,Lison & C°,Parc Industriel,3C,1440,Wauthier-Braine,BE,FR,,,,,1692H,,
01694,1960-01-01,Dhl Freight Belgium,De Kleetlaan,1,1831,Diegem,BE,NL,NV,,02/2551260,,1694H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0401.264.551')])",
01695,1960-01-01,Viiv Healthcare,Site Apollo Avenue Pascal,2-4-6,1300,Wavre,BE,FR,SPRL,,02/6562635,,1695H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0818.038.513')])",
01696,1960-01-01,Patch Pharma,Drève Richelle,161,1410,WATERLOO,BE,FR,SA,,027354534,57,1696H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0459.743.277')])",
01697,1960-01-01,Uti Belgium,Bedrijvenzone Marchelen Cargo,829A,1830,MACHELEN,BE,NL,NV,,02/7519250,,1697H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0428.012.696')])",
01698,1960-01-01,Bone Therapeutics,Rue Auguste Picard,37,6041,Gosselies,BE,FR,SA,,0471/710456,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0882.015.654')])",
01700,1960-01-01,Sofiadis,Rue Tyberchamps,,7180,SENEFFE,BE,FR,SCRL,,497/404606,,1700H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0811.294.835')])",
01701,1960-01-01,Gmed Healtchare,Leonardo Da Vincilaan,15,1831,Diegem,BE,NL,BVBA,,011/312616,,1701H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0822 358 674')])",
01702,1960-01-01,Millpledge Europe,Verrekijker,7,8750,Wingene,BE,NL,BVBA,,051/703021,,,,
01703,1960-01-01,Gilead Sciences Belgium,Culliganlaan,2D,1831,Diegem,BE,NL,BVBA,,02/4013570,,1703H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0882.565.584')])",
01704,1960-01-01,Lloydspharma Group,Avenue Pasteur,2,1300,Wavre,BE,FR,SA,,010/887233,,1704H,,
01705,1960-01-01,Stasisport Pharma,Square Marie Curie,50,1070,Bruxelles,BE,NL,,,,,,,
01706,1960-01-01,Mpi,Jaak Lemmenslaan,24,1980,Zemst,BE,NL,BVBA,,,,,,
01711,1960-01-01,P&G Health Belgium,Temselaan,100,1853,Strombeek-Bever,BE,NL,BVBA,,02/6860864,,1711H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0461.017.640')])",
01712,1960-01-01,Alfasigma Belgium,Havenlaan,86C,1000,BRUSSEL,BE,NL,BVBA,,,204,1712H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0816.612.415')])",
01713,1960-01-01,Curium International,Avenue de la Toison d'Or,67,1060,SINT-GILLIS,BE,FR,SA,,,,,,
01714,1960-01-01,Shire Services,Montoyerstraat,47,1000,BRUSSEL,BE,NL,BVBA,,02/3007807 of 0470/999.889,,1714H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0898.258.897')])",
01715,1960-01-01,Vifor Pharma Belgie,Uitbreidingstraat,84,2600,Berchem,BE,NL,NV,,0031 88 84 84 300,,1715H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0829 421 759')])",
01716,1960-01-01,Schenker,Noorderlaan,147,2030,ANTWERPEN,BE,NL,NV,Atlantic House,03/5436373,,1716H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0406.316.776')])",
01717,1960-01-01,Unipharm,Zeelaan,62,8670,KOKSIJDE,BE,NL,CVBA,,056/517722 of 0474/308059,,1717H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0893.852.030')])",
01718,1960-01-01,Hipra Benelux,Nieuwewandeling,62,9000,GENT,BE,NL,NV,Business Centrum : Watt The Firm,4972430660,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0832.384.318')])",
01719,1960-01-01,Kuehne + Nagel,Frankrijklei,115,2000,ANTWERPEN,BE,NL,NV,,02/7522986 of 0473/210 913,,1719H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0404 531 966')])",
01721,1960-01-01,Merak,Steenhoevestraat,6,2800,Mechelen,BE,NL,NV,,03/6440804,,1721H,,
01722,1960-01-01,Verbrugghe,Kerselaarstraat,1,8691,Leisele,BE,NL,NV,,058/298011,,,,
01723,1960-01-01,Dumoulin,Stasegemsesteenweg,102,8500,Kortijk,BE,NL,NV,,056/220181,,,,
01724,1960-01-01,Leievoeders,E.Clausstraat,23,8793,Waregem,BE,NL,NV,,,,,,
01725,1960-01-01,Voeders Callewaert,Berlingmolenstraat,64,8850,Ardooie,BE,NL,NV,,498882092,,,,
01727,1960-01-01,Effik Benelux,Lenniksebaan,451,1070,ANDERLECHT,BE,NL,NV,,,,1727H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0838.111.078')])",
01728,1960-01-01,Promethera Biosciences,Rue Granbompré,11,1435,MONT-SAINT-GUIBERT,BE,FR,SA,Watson & Crick Hill,,,1728H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0809.788.365')])",
01729,1960-01-01,Agfa Healthcare,Septestraat,27,2640,MORTSEL,BE,NL,NV,,0494/560.684,,1729H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403 003 524')])",
01730,1960-01-01,Merck Sharp & Dohme (Europe),Clos du Lynx,5,1200,Bruxelles,BE,FR,Inc,,02/7766119,,,,
01731,1960-01-01,Cenexi - Laboratoires Thissen,Rue de la Papyrée,2-4-6,1420,BRAINE-L'ALLEUD,BE,FR,SA,,02/3861431,,1731H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0843.115.684')])",
01732,1960-01-01,Infarama,Stationsstraat,27,3570,Alken,BE,NL,BVBA,,,,,,
01733,1960-01-01,Neogen Developments Nva,Square Marie Curie,50,1070,ANDERLECHT,BE,NL,,,495363043,,1733H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0808.426.110')])",
01734,1960-01-01,Chiesi,Avenue du Bourgetlaan,44,1130,Brussel,BE,FR/NL,SA/NV,,,,,,
01735,1960-01-01,Ziegler Healthcare,Rue Dieudonné Lefevre,160,1020,Bruxelles,BE,FR,SA,,,,,,
01737,1960-01-01,Diprophar,Rue de Theux,38,4877,Olne,BE,FR,SA,,,,1737H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0879.283.323')])",
01738,1960-01-01,Deufol Waremme,Rue du Parc Industriel,29,4300,Waremm,BE,FR,SA,,019/399736,,1738H,,
01739,1960-01-01,Mölnlycke Health Care,Berchemstadionstraat,72,2600,Berchem,BE,FR,SA,,019/329339,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0462 556 475')])",
01740,1960-01-01,L.F. Will & Cie,Rue du Manil,80,1301,Wavre,BE,FR,SA,,,,,,
01741,1960-01-01,Wase Werkplaats,Kapelanielaan,20,9140,TEMSE,BE,NL,VZW,,09/3445338,,1741H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0406.769.993')])",
01742,1960-01-01,Panalpina World Transport,Noorderlaan,133,2030,ANTWERPEN,BE,NL,NV,,0496/289749,,1742H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0406.024.479')])",
01744,1960-01-01,Vetpharm,Prins Albertlaan,111,8870,IZEGEM,BE,NL,BVBA,,51303100,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0839.331.991')])",
01745,1960-01-01,Clintex Benelux,Boulevard Réne Branquart,80,7860,Lessines,BE,FR,,,,,,,
01747,1960-01-01,Leo Pharma,Duwijckstraat,17,2500,LIER,BE,NL,NV,,0476/901345,,1747H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0404780604')])",
01748,1960-01-01,Vemedia Consumer Health Belgium,Gaston Crommenlaan,4,9050,Gentbrugge,BE,NL,NV,,472/65.56.71,501,1748H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0860.530.550')])",
01749,1960-01-01,Abbvie,Avenue Einstein,14,1300,WAVRE,BE,FR,SA,,010/235979,,1749H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0845.096.860')])",
01750,1960-01-01,Eurofins Amatsigroup,Technologiepark,4,9052,Zwijnaarde,BE,NL,NV,,,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0893.062.073')])",
01751,1960-01-01,2 Pharma,Kapelstraat,154,3550,Heusden-Zolder,BE,NL,NV,,,,1751H,,
01752,1960-01-01,Universite De Liege,Place du Vingt-Aout,7,4000,Liege,BE,FR,,,,,,,
01754,1960-01-01,Orthopaedic.be,Legeweg,157I,8020,OOSTKAMP,BE,NL,NV,,050/362800,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0871.824.221')])",
01755,1960-01-01,Accord Healthcare,Groeneweg,17,9320,Erembodegem,BE,NL,BVBA,,02/396.30.73,,1755H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0841.940.204')])",
01758,1960-01-01,Oystershell  DELETED,Booiebos,24,9031,Drongen,BE,NL,NV,,,,,,
01900,1960-01-01,Kremer Et Louward,Rue des Fleuristes,38,1080,Bruxelles,BE,FR,SPRL,,,,,,
01901,1960-01-01,Profarma,Lammerdries,15,2440,Geel,BE,NL,NV,,014/232911,,,,
01902,1960-01-01,Omega Pharma Belgium,Venecoweg,26,9810,Nazareth,BE,NL,NV,,09/3810200,,1902H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0417 132 860')])",
01903,1960-01-01,Belgopia,Avenue Marcel Thiry,204,1200,Bruxelles,BE,FR,SA,,010/483111,,,,
01904,1960-01-01,Ludeco,Rue Conraets,64,1060,Bruxelles,BE,FR,SA,,02/5350660,,,,
02419,1960-01-01,Pfizer Animal Health,Boulevarde de la Plaine,17,1050,Bruxelles,BE,FR,SA,,,,,,
03001,1960-01-01,Eurocetus,Paasheuvelweg,30,1105,Amsterdam,NL,NL,BV,,20/5640564,,,,
03003,1960-01-01,Fort Dodge Animal Health Bnl,Rue du Bosquet,15,1348,Louvain La Neuve,NL,NL,BV,,31294479899,,,,
03074,1960-01-01,Bioorganics,Microweg,22,6545,Nijmegen,NL,NL,BV,,,,,,
04501,1960-01-01,Fort Dodge Laboratories Ireland,Finisklin Industrial Estate,,0,Sligo,IE,EN,,,,,,,
07001,1960-01-01,Leo Pharma,INDUSTRIEPARKEN,55,2750,2750 BALLERUP,DK,EN,A/S,,,,,,
01668,1960-01-01,@Visors,Bosstraat,4,3040,Huldenberg,BE,NL,,,,,,,
01720,1960-01-01,Oxurion,Gaston Geenslaan,1,3001,Heverlee,BE,NL,NV,,,,1720H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0881.620.924')])",
01736,1960-01-01,Quality Assistance,Technoparc de Thudinie,2,6536,Donstiennes,BE,FR,SA,,071/890.115,,1736H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0423.357.983')])",
01753,1960-01-01,BePharBel Manufacturing,Rue du Luxembourg,13,6180,COURCELLES,BE,FR,SA,,02/737.73.11,,1753H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0844.689.955')])",
01756,1960-01-01,Alcon,Medialaan,36,1800,Vilvoorde,BE,NL,NV,,,,1756H,,
01759,1960-01-01,Mallinckrodt Belgium,Schaliënhoevedreef,20T,2800,MECHELEN,BE,NL,BVBA,,,,1759H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0500.920.272')])",
01761,1960-01-01,Cibus,Abeelseweg,144,8970,Poperinge,BE,NL,NV,,,,,,
01762,1960-01-01,Ajinomoto Omnichem,Cooppallaan,91,9230,WETTEREN,BE,NL,NV,,09/365.33.33,,1762H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403.078.352')])",
01764,1960-01-01,Isotopes Services International,Maanstraat,17-19,2800,MECHELEN,BE,NL,SA/NV,,015/569067,,1764H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0436.133.873')])",
01765,1960-01-01,Fri-Agra,Quai de Mariemont,45,1080,Bruxelles,BE,FR,SA,,,,1765H,,
01766,1960-01-01,Goodlife Pharma,Rue François Massart,27,1450,Chastre-Villeroux-Blanmont,BE,FR,SA,,0495/57.83.46,,1766H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0845.590.372')])",
01767,1960-01-01,Continental Farmaceutica,Rue Laid Burniat,1,1348,Louvain-La-Neuve,BE,FR,,,,,,,
